cuantil,umbral_Y,umbral_GC,n_excedencias,xi_GPD,scale_GPD
0.7,-26.0,26.0,7,-1.3136529224579927,14.450182147037921
0.75,-26.0,26.0,7,-1.3136529224579927,14.450182147037921
0.8,-24.0,24.0,5,-1.481507699332724,13.333569293994518
0.85,-23.0,23.0,5,-1.5562818393159714,12.450254714527773
