xi,loc,scale,p,R
-0.05106871640646586,-31.174470987805012,3.887940151901778,0.0184517667777021,54.19535224173994
0.0005507489223180828,-30.840042358329804,3.345171446250104,0.006445600928804019,155.14457240615266
-0.4899843459957708,-32.27738382059316,2.6208585685647887,0.0470898567089656,21.235995814988467
-0.599946250091816,-32.194288771763055,3.170067462304421,0.07987968882312141,12.518826935021147
-0.1269650696717001,-30.489469822634327,3.386331352158987,0.022316950494575168,44.80898948281851
-0.0015059652600569197,-28.746574537969757,3.6052163880822796,0.01680199527907997,59.51674092213869
-0.5173032179102727,-32.69835749031941,2.1041616265447924,0.03518671053503076,28.41982057414637
-0.006960410056932641,-30.308933420071483,3.3286566317138346,0.008051466314189397,124.20097917290705
0.03653862980895212,-30.063358289787416,3.404077480814437,0.0056152431356077575,178.08667867981222
-0.27945079281588614,-31.239677624669405,2.4185569640135043,0.019612323780895616,50.98834850840577
-0.6707422913900831,-32.81926088151063,1.5029696979807343,0.03480195068532619,28.734021522007318
-0.37697920515505573,-31.57967448126794,2.9237984409074285,0.042354582643640615,23.61019605395985
0.04252345422420706,-30.271627225159442,3.922649366008729,0.010370044958023274,96.43159736027016
-0.04106786389298378,-31.32458708989379,3.1667392065278577,0.007163848999225612,139.58976523766714
0.023188004894524814,-30.73399485299352,3.7253903568330196,0.008670850714866325,115.32893748078058
-0.31192099858130784,-30.754474092722212,3.2209138539304867,0.04443925655372957,22.502626676279867
-0.12638876899833207,-30.741640259757382,2.9619189822146392,0.013952804205285572,71.67018079571288
-0.359834178157979,-31.74008994803939,3.0552608769619822,0.042581264674684996,23.48450680457385
-0.22265321341706554,-32.38279900604195,2.4912947750010064,0.01263406607434629,79.15108201234746
0.049819529100042996,-30.941376009765747,2.673296731325922,0.0004927669028430613,2029.357073761272
-0.37999402521969505,-31.137502637217835,3.3791028045558242,0.05750223933043356,17.390627071991982
0.04954539578601571,-29.852190016485295,3.902785459739645,0.010667766448064058,93.74033494907229
-0.2807620575317724,-30.976067610210848,3.905677569526609,0.05669398348155315,17.638555955860394
0.11277450009506186,-29.984679350762427,3.822135969734358,0.003486636532606733,286.80936215980176
0.049787891827425886,-30.50793389437888,3.83438272839716,0.007833617039504514,127.6549510854377
0.03857442420626721,-29.023122248018048,4.348121805145822,0.024226426556292008,41.27723903797456
-0.1281075485719088,-30.505615841670746,3.0636171725772927,0.016486682499724622,60.655016557558085
